sku,name,configurable_products,color,description,short_description,price,image,thumbnail,small_image,configurable_option,configurable_option_value,category_ids,store,websites,attribute_set,type,status,tax_class_id,visibility,has_options,weight,is_in_stock,qty
7842,Dark Grey Polo Shirt,"7842-12M,7842-18M,7842-2T,7842-3T,7842-4T,7842-5Y,7842-6Y,7842-7Y,7842-8Y",Grey,Dark Grey Polo Shirt,Dark Grey Polo Shirt,19,/7842.jpg,/7842.jpg,/7842.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7843,Grey hooded short sleeved shirt,"7843-12M,7843-18M,7843-2T,7843-3T,7843-4T,7843-5Y,7843-6Y,7843-7Y,7843-8Y",Grey,Grey hooded short sleeved shirt,Grey hooded short sleeved shirt,23,/7843.jpg,/7843.jpg,/7843.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7844,Green t-shirt with blue pocket,"7844-6M,7844-9M,7844-12M,7844-18M,7844-2T,7844-3T,7844-4T,7844-5Y,7844-6Y,7844-7Y,7844-8Y",Green,Green t-shirt with blue pocket,Green t-shirt with blue pocket,15,/7844.jpg,/7844.jpg,/7844.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7849,Grey and yellow t-shirt,"7849-6M,7849-9M,7849-12M,7849-18M,7849-2T,7849-3T,7849-4T,7849-5Y,7849-6Y,7849-7Y,7849-8Y",Grey,Grey and yellow t-shirt,Grey and yellow t-shirt,15,/7849.jpg,/7849.jpg,/7849.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7850,Blue v-neck t-shirt,"7850-6M,7850-9M,7850-12M,7850-18M,7850-2T,7850-3T,7850-4T,7850-5Y,7850-6Y,7850-7Y,7850-8Y",Blue,Blue v-neck t-shirt,Blue v-neck t-shirt,8.5,/7850.jpg,/7850.jpg,/7850.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7851,Red v-neck boys t-shirt,"7851-6M,7851-9M,7851-12M,7851-18M,7851-2T,7851-3T,7851-4T,7851-5Y,7851-6Y,7851-7Y,7851-8Y",Red,Red v-neck boys t-shirt,Red v-neck boys t-shirt,8.5,/7851.jpg,/7851.jpg,/7851.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7853,Orange tank romper,"7853-3M,7853-6M,7853-9M,7853-12M,7853-18M",Orange,Orange tank romper,Orange tank romper,20,/7853.jpg,/7853.jpg,/7853.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 112",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7854,Blue tank romper,"7854-3M,7854-6M,7854-9M,7854-12M,7854-18M",Blue,Blue tank romper,Blue tank romper,20,/7854.jpg,/7854.jpg,/7854.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 112",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7855,Green tank romper,"7855-3M,7855-6M,7855-9M,7855-12M,7855-18M",Green,Green tank romper,Green tank romper,20,/7855.jpg,/7855.jpg,/7855.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 112",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7859,Black chambray romper,"7859-3M,7859-6M,7859-9M,7859-12M,7859-18M ",Black,Black chambray romper,Black chambray romper,20,/7859.jpg,/7859.jpg,/7859.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 112",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7860,Purple and Grey t-shirt,"7860-6M,7860-9M,7860-12M,7860-18M,7860-2T,7860-3T,7860-4T,7860-5Y,7860-6Y,7860-7Y,7860-8Y",Purple,Purple and Grey t-shirt,Purple and Grey t-shirt,15,/7860.jpg,/7860.jpg,/7860.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9001,Yellow / Black Heathered Shirt with Navy Pocket and Trim ,"9001-6M,9001-9M,9001-12M,9001-18M,9001-2T,9001-3T,9001-4T,9001-5Y,9001-6Y,9001-7Y,9001-8Y",Yellow,Yellow / Black Heathered Shirt with Navy Pocket and Trim ,Yellow / Black Heathered Shirt with Navy Pocket and Trim ,20,/9001.jpg,/9001.jpg,/9001.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9002,Orange Speckled Bodysuit with Navy Chambray Tie ,"9002-3T,9002-4T,9002-5Y,9002-6Y,9002-7Y,9002-8Y,9002B-6M,9002B-9M,9002B-12M,9002B-18M,9002-2T",Orange,Orange Speckled Bodysuit with Navy Chambray Tie ,Orange Speckled Bodysuit with Navy Chambray Tie ,20,/9002.jpg,/9002.jpg,/9002.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9176,Light Grey Headphone Bodysuit ,"9176-3M,9176-6M,9176-9M,9176-12M",Grey,Light Grey Headphone Bodysuit ,Light Grey Headphone Bodysuit ,20,/9176.jpg,/9176.jpg,/9176.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 94",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9180,Light Grey Headphone Shirt,"9180-18M,9180-2T,9180-3T,9180-4T,9180-5Y,9180-6Y,9180-7Y,9180-8Y",Grey,Light Grey Headphone Shirt,Light Grey Headphone Shirt,20,/9180.jpg,/9180.jpg,/9180.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9188,Light Blue Headphone Bodysuit,"9188-3M,9188-6M,9188-9M,9188-12M",Blue,Light Blue Headphone Bodysuit,Light Blue Headphone Bodysuit,20,/9188.jpg,/9188.jpg,/9188.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 94",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9192,Light Blue Headphone Shirt,"9192-18M,9192-2T,9192-3T,9192-4T,9192-5Y,9192-6Y,9192-7Y,9192-8Y",Blue,Light Blue Headphone Shirt,Light Blue Headphone Shirt,20,/9192.jpg,/9192.jpg,/9192.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9200,Mustard Headphone Bodysuit ,"9200-3M,9200-6M,9200-9M,9200-12M",Mustard,Mustard Headphone Bodysuit ,Mustard Headphone Bodysuit ,20,/9200.jpg,/9200.jpg,/9200.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 94",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9204,Mustard Headphone Shirt,"9204-18M,9204-2T,9204-3T,9204-4T,9204-5Y,9204-6Y,9204-7Y,9204-8Y",Mustard,Mustard Headphone Shirt,Mustard Headphone Shirt,20,/9204.jpg,/9204.jpg,/9204.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7830S/S,Orange and blue check s/s shirt,"7830S/S-18M,7830S/S-2T,7830S/S-3T,7830S/S-4T,7830S/S-5Y,7830S/S-6Y,7830S/S-7Y,7830S/S-8Y",Orange/Blue,Orange and blue check s/s shirt,Orange and blue check s/s shirt,32,/7830S/S.jpg,/7830S/S.jpg,/7830S/S.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
7831B,Blue Swiss Dot Bodysuit,"7831B-6M,7831B-9M,7831B-12M,7831B-18M",Blue,Blue Swiss Dot Bodysuit,Blue Swiss Dot Bodysuit,32,/7831B.jpg,/7831B.jpg,/7831B.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 94",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
9002B,Orange Speckled Bodysuit with Navy Chambray Tie ,"9002B-6M,9002B-9M,9002B-12M,9002B-18M",Orange,Orange Speckled Bodysuit with Navy Chambray Tie ,Orange Speckled Bodysuit with Navy Chambray Tie ,20,/9002B.jpg,/9002B.jpg,/9002B.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 94",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
